0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
500,2099,428,1124,2222,217,757,272,333,278,499,1163,564,815,625,1140,542,6573,234,1826,2106,732,1102,1400,3507,3512,389,2013,148,432,801,4104,1856,1103,844,819,267,3579,327,408,391,2691,712,209,381,3797,271,4075,1212,1248,593
510,613,527,133,285,806,446,265,809,79,226,999,472,210,191,382,1771,399,799,82,953,415,225,53,118,193,867,188,944,96,234,224,118,1517,307,71,568,119,312,803,722,571,126,538,154,114,415,135,418,1081,107
520,86,114,12,17,57,107,100,36,53,8,20,5,33,71,11,148,19,37,22,175,71,64,17,54,74,118,54,60,1,87,20,8,10,16,17,18,73,61,9,2,9,62,14,27,60,54,10,230,62,27
530,104,58,175,58,187,29,33,205,28,15,102,198,49,3,54,302,134,35,66,40,118,43,240,426,119,58,38,48,31,19,132,17,58,9,4,106,330,20,110,44,39,47,78,158,119,80,169,171,70,31
540,641,369,627,28,139,185,262,48,1223,242,395,355,354,281,98,413,406,1006,177,89,80,825,58,169,173,34,64,355,943,196,223,742,300,454,282,83,204,539,162,72,1551,247,313,124,427,87,34,1131,100,41
550,307,201,2684,342,1224,338,627,339,148,218,125,1896,1363,217,974,3636,1179,328,462,2735,533,2854,1811,1950,1092,1477,509,2219,117,944,723,1041,459,455,68,1939,246,618,1585,1401,802,76,1856,883,890,658,983,1162,2899,966
560,2092,243,2550,3629,3449,1337,65,1057,2226,2395,3181,894,3538,1884,299,805,488,841,1347,701,890,1213,1834,1914,717,1053,1495,1067,3709,608,195,501,833,397,426,56,651,1611,357,175,1647,1988,225,323,367,516,1767,1787,325,431
570,183,905,1409,74,537,1591,710,2228,5715,339,896,5613,180,366,310,928,1832,1962,910,580,1194,287,395,2281,387,142,3192,317,2307,2208,132,6286,575,1275,553,205,1434,3189,576,2413,4421,884,541,859,692,5562,2834,513,749,1762
580,790,210,527,2270,444,943,911,1060,1027,1870,386,196,2592,674,6151,2141,1199,1130,477,856,377,2725,291,1791,1190,700,555,209,1694,407,6470,1209,3057,2418,2917,2509,2070,4006,317,2319,1178,3501,1757,961,2664,957,3480,377,1093,103
590,871,23,2499,1037,1139,866,156,919,1382,614,1451,2454,1362,332,2011,2038,1465,1832,85,5244,1256,535,1865,5779,1822,2325,665,502,515,1022,2372,883,1788,884,282,749,1062,1690,486,3099,1441,1182,1981,1017,266,1172,2076,2856,709,972
600,60,87,352,643,139,439,779,902,32,227,53,87,394,946,173,349,1351,61,1323,19,1062,184,340,649,836,152,225,541,666,92,379,591,312,172,388,768,813,99,507,240,256,208,1267,141,337,99,108,550,568,123
610,508,139,810,240,263,252,33,190,113,250,37,149,46,96,574,240,315,117,93,282,108,768,265,174,105,108,302,294,130,668,136,408,96,370,408,645,723,173,1141,256,397,255,1294,23,164,109,188,107,266,138
620,177,321,98,23,557,246,724,483,790,447,80,310,117,182,539,242,249,314,557,813,380,226,219,121,943,85,1898,105,1095,161,55,1102,171,116,47,141,163,1108,945,323,733,856,504,42,332,6,318,539,34,317
630,74,111,149,136,504,450,435,558,34,381,419,92,599,117,1476,64,316,153,593,568,45,262,50,159,30,262,178,205,130,56,870,50,172,90,61,525,299,220,674,238,13,251,59,55,80,224,290,222,423,266
640,167,163,52,110,134,334,903,28,418,111,552,841,367,299,245,485,72,14,224,20,250,152,49,189,207,100,163,246,191,675,397,58,30,303,372,24,247,19,302,31,98,86,493,327,302,291,519,301,230,614
650,1073,441,2208,865,293,1253,594,470,973,2167,2612,752,330,2355,2187,889,1276,3094,1423,356,1902,657,432,1013,264,1060,2926,118,1705,460,1345,781,1912,4909,1341,239,246,299,513,297,324,988,679,90,1942,964,435,1235,2208,1110
