0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
670,66,66,148,108,189,96,4,335,216,41,597,133,329,1116,757,37,567,194,65,102,118,396,502,121,382,151,194,189,176,325,167,308,304,187,93,26,71,315,456,16,389,690,307,182,96,102,99,150,82,14
680,1191,573,1141,546,873,639,172,207,752,1094,58,128,1270,374,123,158,167,838,748,1032,52,440,488,518,93,165,1306,126,1043,511,123,2178,163,265,893,1363,80,1392,328,2284,128,294,1007,98,63,599,1078,623,1901,201
690,1116,1599,2562,1248,230,1867,881,1889,888,3600,3310,262,560,1690,305,1386,2389,758,214,462,2688,60,283,321,2555,954,521,485,101,1447,1264,636,1580,1673,274,904,530,1916,119,792,285,308,1778,159,836,609,793,2391,735,72
700,115,107,1283,315,54,125,274,435,28,775,972,155,107,534,633,61,117,260,408,722,372,579,76,478,68,222,198,839,316,198,631,446,10,124,227,27,289,60,146,15,140,70,266,980,46,1152,1103,407,199,1108
710,26,206,2147,594,278,316,3079,59,1283,351,1347,513,236,1205,402,161,331,153,741,1104,71,132,269,24,2485,144,170,288,323,207,1075,584,911,104,113,43,459,213,544,102,1041,986,1417,635,2826,384,443,49,626,242
720,118,134,163,385,113,302,68,433,233,841,93,891,78,55,924,241,103,85,83,463,260,487,444,266,1001,51,111,248,945,1212,899,473,395,12,149,192,210,423,147,769,120,809,59,192,540,574,249,105,67,926
730,276,120,39,88,306,21,400,347,161,117,78,65,178,198,334,47,291,183,213,60,42,190,142,19,462,318,19,102,22,266,187,83,87,342,303,262,39,173,372,491,90,248,252,297,63,54,52,662,80,181
740,275,298,28,358,120,795,135,174,70,637,266,591,354,471,92,244,96,279,86,72,1172,560,22,152,92,205,1020,180,918,128,221,123,28,58,262,64,285,66,42,435,113,100,89,514,281,33,104,425,160,68
750,1324,839,48,627,89,44,138,153,59,442,122,298,514,252,919,1268,250,95,109,2032,1211,381,464,467,805,168,124,124,88,239,308,25,934,60,958,722,416,770,1665,420,78,1544,77,113,268,392,821,216,317,96
760,2282,383,445,1748,1571,144,277,112,116,597,1604,4695,3710,364,124,2190,4784,2059,1254,964,39,2431,3069,896,1561,6349,251,80,526,1640,556,1891,3012,720,1363,668,1278,464,290,365,402,75,931,915,38,941,1410,738,487,1647
770,563,50,69,153,198,659,94,251,483,20,66,88,23,322,777,31,362,507,205,644,333,502,76,482,30,95,42,75,821,120,37,68,43,374,237,704,637,628,240,225,157,158,24,339,275,379,197,45,109,289
780,3178,791,2062,858,528,2184,97,1531,1094,1601,410,1394,1104,672,303,1549,391,1005,1296,260,1267,311,1310,340,240,149,485,1726,135,2203,2460,526,132,976,258,929,1130,272,1746,1379,1765,176,529,284,830,339,17,303,242,314
790,2040,2449,625,975,202,2860,306,779,1534,129,53,2046,704,1311,138,575,2042,691,1974,446,3861,1963,495,279,14,933,3063,203,1389,3929,1072,1670,831,224,319,6223,1192,59,91,1397,46,2327,2410,132,123,2575,656,3645,600,307
800,126,267,144,373,1166,42,479,702,186,75,271,178,347,164,398,309,521,563,611,223,320,662,138,345,304,436,39,145,176,384,172,251,656,88,58,29,878,690,83,887,237,280,241,82,411,473,228,43,204,81
810,508,102,423,144,180,1407,240,188,496,764,605,272,198,274,913,1534,1115,1050,402,320,323,301,628,184,46,405,627,2317,566,270,342,88,1498,248,292,321,326,342,1721,252,102,918,582,639,598,297,662,392,634,1806
820,11,111,112,165,219,56,45,102,20,7,110,263,199,155,65,61,269,12,34,237,159,50,14,109,104,36,257,107,38,201,118,87,114,314,225,140,81,289,283,254,44,26,77,59,32,98,70,150,67,200
830,417,101,58,458,219,504,251,185,83,23,405,616,437,252,1229,206,91,381,583,387,289,152,454,266,262,619,54,1276,59,85,195,225,473,260,446,367,88,320,476,470,508,55,1298,352,491,1270,86,419,283,324
840,2377,1192,1992,550,949,2301,482,313,484,1839,4014,803,333,181,283,2711,692,422,402,359,852,1837,4134,2148,1019,218,1784,1931,1356,285,805,3429,159,1310,640,516,545,463,971,1421,2615,886,1516,3523,246,433,1689,3420,1573,786
850,100,1517,3348,508,510,1059,802,171,679,235,692,2253,92,1368,886,52,1544,225,260,3322,221,191,1496,127,1356,497,2309,3555,200,742,86,1374,2193,1485,1048,238,1762,1216,3763,2732,186,1820,369,2170,245,206,2299,4861,2289,1079
860,277,54,14,167,103,142,207,46,193,109,177,120,108,360,83,663,30,190,540,121,167,419,203,18,705,75,150,256,296,219,112,26,163,182,58,583,131,86,376,343,71,131,269,17,185,44,390,126,228,56
870,1406,1471,300,206,502,289,452,283,1023,412,767,282,220,72,73,558,540,346,165,244,153,452,106,150,122,262,71,97,304,351,73,405,315,183,10,75,321,246,159,45,695,320,53,493,306,71,431,541,258,892
880,118,426,114,741,258,561,70,462,406,190,332,936,67,397,104,90,104,1010,102,578,323,253,170,31,67,267,168,261,94,917,216,574,351,223,1049,118,136,248,907,694,928,306,647,219,61,52,48,83,163,296
